epi,step,reward,alpha,temporal
217,111104,-1761.2869901616455,0.33303889632225037,0.8
218,111616,-6854.750132176252,0.33180153369903564,0.8
219,112128,-2809.645839847179,0.33195772767066956,0.8
220,112640,-3281.5186347553376,0.33055397868156433,0.8
221,113152,-6858.561497453326,0.33206188678741455,0.8
222,113664,-4706.628622805585,0.33150145411491394,0.8
223,114176,-2948.6498138072775,0.329394668340683,0.8
224,114688,-3526.9990081096876,0.32881346344947815,0.8
225,115200,-10258.060993519146,0.32893407344818115,0.8
226,115712,-1968.1245262357368,0.329120934009552,0.8
227,116224,-1376.09030593186,0.3268398344516754,0.8
228,116736,-3349.3188998560204,0.32846319675445557,0.8
229,117248,-3058.5276544143235,0.32627713680267334,0.8
230,117760,-3952.9030693606596,0.3279050290584564,0.8
231,118272,-3787.5600894846616,0.3271220624446869,0.8
232,118784,-6569.731724297456,0.32722803950309753,0.8
233,119296,-3194.38226892542,0.32499778270721436,0.8
234,119808,-2895.220522323454,0.3276773691177368,0.8
235,120320,-3722.884209681423,0.32715505361557007,0.8
236,120832,-4231.400085831391,0.32655641436576843,0.8
237,121344,-8884.928333140288,0.3267684578895569,0.8
238,121856,-3078.6206240996758,0.3258945941925049,0.8
239,122368,-3141.5028957925683,0.32844313979148865,0.8
240,122880,-2380.662732568179,0.32676368951797485,0.8
241,123392,-2644.877759458457,0.32542672753334045,0.8
242,123904,-2364.4241416955597,0.32594454288482666,0.8
243,124416,-5609.110336700983,0.32522815465927124,0.8
244,124928,-1610.3274334739017,0.32574278116226196,0.8
245,125440,-2686.990492206233,0.32569700479507446,0.8
246,125952,-1926.8107204630585,0.3251868784427643,0.8
247,126464,-3471.98937931322,0.3263097107410431,0.8
248,126976,-4134.106368491628,0.3249683976173401,0.8
249,127488,-1903.3594067226234,0.32496246695518494,0.8
250,128000,-5038.038884702019,0.3259744644165039,0.8
251,128512,-1798.760349492385,0.32675492763519287,0.8
252,129024,-3477.780350599073,0.3256843686103821,0.8
253,129536,-2940.2256918977587,0.3247184753417969,0.8
254,130048,-3314.9721516609193,0.32587796449661255,0.8
255,130560,-3097.852920947539,0.32637444138526917,0.8
256,131072,-9534.322205282391,0.32524627447128296,0.8
257,131584,-7809.420739261686,0.32472023367881775,0.8
258,132096,-6309.582346988027,0.32377779483795166,0.8
259,132608,-4528.905297236174,0.324898362159729,0.8
260,133120,-2628.957718053986,0.3244923949241638,0.8
261,133632,-3069.822449229514,0.32363733649253845,0.8
262,134144,-2272.8543161020757,0.3215009272098541,0.8
263,134656,-6618.386030248582,0.3229259252548218,0.8
264,135168,-2323.658383555342,0.3243158161640167,0.8
265,135680,-8832.99020879754,0.32178500294685364,0.8
266,136192,-4269.475134767897,0.3216698467731476,0.8
267,136704,-6931.755690378401,0.32071101665496826,0.8
268,137216,-7307.984551075729,0.32265719771385193,0.8
269,137728,-14331.69971171004,0.3211500644683838,0.8
270,138240,-3534.554667359395,0.32224708795547485,0.8
271,138752,-6762.646409642425,0.3224625587463379,0.8
272,139264,-2297.736054224315,0.32226720452308655,0.8
273,139776,-1963.3573639345461,0.3211820721626282,0.8
274,140288,-4041.2481087449464,0.32089510560035706,0.8
275,140800,-5389.804847171025,0.32153037190437317,0.8
276,141312,-7952.146107855596,0.3208824694156647,0.8
277,141824,-5354.5089150534195,0.32174786925315857,0.8
278,142336,-2424.1721936709105,0.3193463981151581,0.8
279,142848,-3206.598325235074,0.31992170214653015,0.8
280,143360,-5085.243097325443,0.32089653611183167,0.8
281,143872,-4275.606783796375,0.32111868262290955,0.8
282,144384,-4872.902447029627,0.3210987448692322,0.8
283,144896,-4000.247960955833,0.3187914192676544,0.8
284,145408,-3772.095104002574,0.32068321108818054,0.8
285,145920,-2809.0593451378622,0.32034173607826233,0.8
286,146432,-3373.96138011072,0.32072344422340393,0.8
287,146944,-1721.1716640556772,0.3205038011074066,0.8
288,147456,-1221.3701300945468,0.3203478157520294,0.8
289,147968,-2085.1451479885827,0.32008635997772217,0.8
290,148480,-3377.963858738984,0.31814828515052795,0.8
291,148992,-7568.443489940855,0.3175491392612457,0.8
292,149504,-3244.512173642225,0.31857559084892273,0.8
293,150016,-2163.1674082157997,0.31779125332832336,0.8
294,150528,-2823.522657526022,0.32076409459114075,0.8
295,151040,-1903.9989279565891,0.31832650303840637,0.8
296,151552,-7109.32880565527,0.31859663128852844,0.8
297,152064,-11047.852248382069,0.3181730806827545,0.8
298,152576,-2609.7132386221992,0.3181171417236328,0.8
299,153088,-1481.3557142675422,0.32020488381385803,0.8
300,153600,-1288.2774636258953,0.31714344024658203,0.8
301,154112,-2222.9053129116137,0.31844693422317505,0.8
302,154624,-3577.697781388584,0.31794723868370056,0.8
303,155136,-3173.556050691946,0.3180544078350067,0.8
304,155648,-1543.498636453619,0.3198820948600769,0.8
305,156160,-8004.8523001663725,0.31698083877563477,0.8
306,156672,-2723.562765476628,0.31799328327178955,0.8
307,157184,-2114.052221713073,0.3178260922431946,0.8
308,157696,-2066.181318029069,0.31826719641685486,0.8
309,158208,-3229.498505028481,0.31856489181518555,0.8
310,158720,-1872.499564915711,0.31751546263694763,0.8
311,159232,-2413.618683017474,0.31649887561798096,0.8
312,159744,-4525.6645478438695,0.3172798752784729,0.8
313,160256,-2375.647578390959,0.31894898414611816,0.8
314,160768,-6142.440813652172,0.31702813506126404,0.8
315,161280,-1868.9225811041385,0.3172735571861267,0.8
316,161792,-6857.157024861489,0.3174739480018616,0.8
317,162304,-4461.72322831496,0.31669703125953674,0.8
318,162816,-2078.08227734747,0.31724345684051514,0.8
319,163328,-4627.979532878987,0.31462541222572327,0.8
320,163840,-6279.889235580427,0.31651440262794495,0.8
321,164352,-3005.1517111012945,0.31825655698776245,0.8
322,164864,-4103.757924283463,0.31691569089889526,0.8
323,165376,-6743.022446351877,0.3183535635471344,0.8
324,165888,-2674.3915563223754,0.3201257884502411,0.8
325,166400,-5535.929303947491,0.31835436820983887,0.8
326,166912,-7246.918957461105,0.31661665439605713,0.8
327,167424,-2837.344788238534,0.3177362084388733,0.8
328,167936,-3937.9104960893765,0.31771016120910645,0.8
329,168448,-5252.207819419523,0.31607118248939514,0.8
330,168960,-3225.154973586171,0.31701207160949707,0.8
331,169472,-4687.026299151313,0.315297394990921,0.8
332,169984,-11529.521068620095,0.3167884051799774,0.8
333,170496,-2232.6870209727276,0.31588155031204224,0.8
334,171008,-2647.1887230619295,0.3154105544090271,0.8
335,171520,-6533.453331589608,0.31685566902160645,0.8
336,172032,-2092.925247903697,0.31700119376182556,0.8
337,172544,-1944.2573022068132,0.3159075975418091,0.8
338,173056,-3810.813921050755,0.31507614254951477,0.8
339,173568,-3139.7954590921117,0.31614935398101807,0.8
340,174080,-10824.83347870424,0.3168370723724365,0.8
341,174592,-6669.146929261571,0.3157094717025757,0.8
342,175104,-4217.110166675635,0.31513071060180664,0.8
343,175616,-7782.2265935119585,0.31599947810173035,0.8
344,176128,-3080.3344894854245,0.31644800305366516,0.8
345,176640,-2082.1174909660085,0.31441885232925415,0.8
346,177152,-3860.659549114946,0.3156416714191437,0.8
347,177664,-9159.615929544112,0.3157442510128021,0.8
348,178176,-9534.363229736562,0.31584396958351135,0.8
349,178688,-1867.2121047146886,0.3146771192550659,0.8
350,179200,-3943.262684979913,0.31599920988082886,0.8
351,179712,-1867.1644145475152,0.31641557812690735,0.8
352,180224,-7182.467918916058,0.3142934739589691,0.8
353,180736,-5793.725571381434,0.3156309425830841,0.8
354,181248,-3827.8778827598435,0.31593450903892517,0.8
355,181760,-1778.0016946778007,0.31415221095085144,0.8
356,182272,-3099.725226712809,0.3148677945137024,0.8
357,182784,-2904.5506379699686,0.3154679834842682,0.8
358,183296,-3391.6327150182265,0.3150205910205841,0.8
359,183808,-3722.9737898817125,0.3159259259700775,0.8
360,184320,-1831.990341926247,0.31398215889930725,0.8
361,184832,-8567.870251762462,0.31556934118270874,0.8
362,185344,-2188.055348330851,0.3146204948425293,0.8
363,185856,-3428.746015971713,0.31511083245277405,0.8
364,186368,-5147.591202018066,0.31399616599082947,0.8
365,186880,-6709.589630232715,0.3129909634590149,0.8
366,187392,-1876.0939736542218,0.3139808773994446,0.8
367,187904,-4201.893283543098,0.31262025237083435,0.8
368,188416,-1708.203600863242,0.31347841024398804,0.8
369,188928,-1907.6424967398107,0.3148330748081207,0.8
370,189440,-2479.5263674158637,0.3140639364719391,0.8
371,189952,-1511.620575138921,0.31508898735046387,0.8
372,190464,-4177.143018431322,0.3151516020298004,0.8
373,190976,-3325.1440787476595,0.31663066148757935,0.8
374,191488,-11689.442544964959,0.31379634141921997,0.8
375,192000,-9512.655975170332,0.3140665292739868,0.8
376,192512,-2357.9900846028827,0.3146025240421295,0.8
377,193024,-2765.1320006697943,0.31414246559143066,0.8
378,193536,-4735.0357491807745,0.3138927221298218,0.8
379,194048,-4987.617260023296,0.31520184874534607,0.8
380,194560,-3099.786326212425,0.3140814006328583,0.8
381,195072,-2838.749868624512,0.31480395793914795,0.8
382,195584,-1919.1525180223011,0.31250399351119995,0.8
383,196096,-5627.971958303598,0.3125822842121124,0.8
384,196608,-1867.2447712255691,0.31346842646598816,0.8
385,197120,-8971.436030959449,0.31227922439575195,0.8
386,197632,-3058.532081159791,0.31108102202415466,0.8
387,198144,-3521.3385940414682,0.3125685453414917,0.8
388,198656,-3023.6415343760577,0.3120989501476288,0.8
389,199168,-8292.828311662786,0.3102177679538727,0.8
390,199680,-2592.7592770928563,0.3125057816505432,0.8
391,200192,-3169.5738783298452,0.3125510811805725,0.8
392,200704,-15617.931229576,0.31164470314979553,0.8
393,201216,-5700.333422194517,0.30903226137161255,0.8
394,201728,-4652.447059615261,0.30798447132110596,0.8
395,202240,-2597.6943580876186,0.3097587525844574,0.8
396,202752,-5653.096805764711,0.3102678060531616,0.8
397,203264,-3789.5881342444545,0.31036531925201416,0.8
398,203776,-3937.994602397104,0.3112618029117584,0.8
399,204288,-4147.499496285601,0.31050610542297363,0.8
400,204800,-2506.690738970623,0.3087744116783142,0.8
401,205312,-4839.606387270543,0.31059175729751587,0.8
402,205824,-1674.021745859496,0.31006917357444763,0.8
403,206336,-3328.2349460265464,0.310414582490921,0.8
404,206848,-3539.3283224537154,0.3083621859550476,0.8
405,207360,-7611.2307702481985,0.30733057856559753,0.8
406,207872,-6706.707703747399,0.3090660870075226,0.8
