curr_time,press_in,press_out,flowrate1,flowrate2,ctrl_pos,ctrl_neg,press_pos,press_neg
0.24854421615600586,159.2900390625,34.4298095703125,-2.766883373260498,-0.1970529556274414,1.0,1.0,159.2900390625,34.4298095703125
0.2673051357269287,159.45419311523438,34.454681396484375,-2.8325676918029785,-0.04926919937133789,1.0,1.0,159.45419311523438,34.454681396484375
0.2855191230773926,159.45419311523438,34.4215087890625,-2.9228806495666504,-0.18883943557739258,1.0,1.0,159.45419311523438,34.4215087890625
0.3034801483154297,159.45419311523438,34.462982177734375,-3.0870914459228516,-0.18063783645629883,0.9110000133514404,1.0,159.45419311523438,34.462982177734375
0.3234291076660156,159.2900390625,34.454681396484375,-2.85719633102417,-0.05748271942138672,0.9110000133514404,1.0,159.2900390625,34.454681396484375
0.3434321880340576,159.53631591796875,34.4215087890625,-2.4466872215270996,-0.20526647567749023,0.9110000133514404,1.0,159.53631591796875,34.4215087890625
0.36334729194641113,159.6184539794922,34.50444793701172,-3.628969192504883,-0.20526647567749023,0.9110000133514404,1.0,159.6184539794922,34.50444793701172
0.3832581043243408,160.52159118652344,34.462982177734375,-3.160989284515381,-0.16421079635620117,0.9110000133514404,1.0,160.52159118652344,34.462982177734375
0.4032602310180664,161.34259033203125,34.396636962890625,-3.1363487243652344,-0.18883943557739258,0.9110000133514404,1.0,161.34259033203125,34.396636962890625
0.42318010330200195,161.75314331054688,34.43810272216797,-3.456556797027588,-0.21347999572753906,0.9110000133514404,1.0,161.75314331054688,34.43810272216797
0.4431731700897217,161.5888671875,34.48785400390625,-3.5632967948913574,-0.04105567932128906,0.9110000133514404,1.0,161.5888671875,34.48785400390625
0.46285319328308105,163.23097229003906,34.388343811035156,-3.0542492866516113,-0.21347999572753906,0.9110000133514404,1.0,163.23097229003906,34.388343811035156
0.48278331756591797,163.39524841308594,34.43810272216797,-3.3498167991638184,-0.20526647567749023,0.9110000133514404,1.0,163.39524841308594,34.43810272216797
0.5027010440826416,164.29837036132812,34.462982177734375,-2.8736233711242676,-0.21347999572753906,0.9110000133514404,1.0,164.29837036132812,34.462982177734375
0.5228981971740723,164.21624755859375,34.512725830078125,-3.275930881500244,-0.1970529556274414,0.9110000133514404,1.0,164.21624755859375,34.512725830078125
0.5417771339416504,164.79095458984375,34.47956085205078,-3.4811854362487793,-0.1970529556274414,0.9110000133514404,1.0,164.79095458984375,34.47956085205078
0.5615341663360596,165.2835235595703,34.454681396484375,-3.284144401550293,-0.20526647567749023,0.9110000133514404,1.0,165.2835235595703,34.454681396484375
0.5815572738647461,165.11936950683594,34.512725830078125,-3.6371827125549316,-0.23810863494873047,0.9110000133514404,1.0,165.11936950683594,34.512725830078125
0.6014151573181152,166.59719848632812,34.512725830078125,-3.4237146377563477,-0.18883943557739258,0.9110000133514404,1.0,166.59719848632812,34.512725830078125
0.6185472011566162,166.843505859375,34.529319763183594,-3.7357091903686523,-0.2216815948486328,0.9110000133514404,1.0,166.843505859375,34.529319763183594
0.6358089447021484,167.66461181640625,34.5458984375,-3.407299518585205,-0.032842159271240234,0.9110000133514404,1.0,167.66461181640625,34.5458984375
0.6554961204528809,167.99302673339844,34.521026611328125,-3.2595038414001465,-0.20526647567749023,0.9110000133514404,1.0,167.99302673339844,34.521026611328125
0.6732950210571289,168.485595703125,34.529319763183594,-3.4647703170776367,-0.06568431854248047,0.9110000133514404,1.0,168.485595703125,34.529319763183594
0.6929011344909668,169.060302734375,34.62882995605469,-2.85719633102417,-0.20526647567749023,0.9110000133514404,1.0,169.060302734375,34.62882995605469
0.7126991748809814,169.3065948486328,34.59565734863281,-3.234875202178955,-0.18883943557739258,0.9110000133514404,1.0,169.3065948486328,34.59565734863281
0.7324991226196289,168.97817993164062,34.6702880859375,-3.711080551147461,0.09851455688476562,0.9110000133514404,1.0,168.97817993164062,34.6702880859375
0.7487390041351318,170.94869995117188,34.6702880859375,-3.9327621459960938,-0.22989511489868164,0.9110000133514404,1.0,170.94869995117188,34.6702880859375
0.7686183452606201,170.94869995117188,34.66200256347656,-3.202033042907715,-0.20526647567749023,0.9110000133514404,1.0,170.94869995117188,34.66200256347656
0.7870759963989258,171.3592529296875,34.6702880859375,-3.4811854362487793,0.09031295776367188,0.9110000133514404,1.0,171.3592529296875,34.6702880859375
0.8070120811462402,171.85183715820312,34.711753845214844,-2.7997255325317383,-0.2216815948486328,0.9110000133514404,1.0,171.85183715820312,34.711753845214844
0.8267812728881836,172.83709716796875,34.72004699707031,-3.448343276977539,-0.20526647567749023,0.9110000133514404,1.0,172.83709716796875,34.72004699707031
0.8455579280853271,172.83709716796875,34.72004699707031,-3.1856179237365723,-0.032842159271240234,0.9110000133514404,1.0,172.83709716796875,34.72004699707031
0.8654272556304932,173.57608032226562,34.81126403808594,-3.06246280670166,-0.04105567932128906,0.9110000133514404,1.0,173.57608032226562,34.81126403808594
0.8853611946105957,173.90451049804688,34.79467010498047,-3.3826589584350586,-0.1970529556274414,0.9110000133514404,1.0,173.90451049804688,34.79467010498047
0.9053092002868652,174.23280334472656,34.761505126953125,-3.4237146377563477,-0.20526647567749023,0.9110000133514404,1.0,174.23280334472656,34.761505126953125
0.9251523017883301,174.56121826171875,34.90248107910156,-3.0049920082092285,-0.13958215713500977,0.9110000133514404,1.0,174.56121826171875,34.90248107910156
0.945087194442749,175.13604736328125,34.90248107910156,-3.3826589584350586,-0.2216815948486328,0.9110000133514404,1.0,175.13604736328125,34.90248107910156
